Account1,Account2,Account3,Account4,Account5,Account6,date,time,price,qty,side,Account1_C++,Account2_C++,Account3_C++,Account4_C++,Account5_C++,Account6_C++,Account1_matlab,Account2_matlab,Account3_matlab,Account4_matlab,Account5_matlab,Account6_matlab
True,True,True,True,True,True,10/19/2009,40105.441060000005,78.96,1,0,1,0,0,0,0,0,1,0,0,0,0,0
True,True,True,True,True,True,10/19/2009,40105.45145,79.08,1,0,2,0,0,0,0,0,2,0,0,0,0,0
True,True,True,True,True,True,10/19/2009,40105.46187,78.78,1,1,1,0,0,0,0,0,1,0,0,0,0,0
True,True,True,True,True,True,10/19/2009,40105.46188,78.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/19/2009,40105.47421,78.92,2,0,2,0,0,0,0,0,2,0,0,0,0,0
True,True,True,True,True,True,10/19/2009,40105.4931,79.14,2,0,2,1,1,0,0,0,2,1,1,0,0,0
True,True,True,True,True,True,10/19/2009,40105.52565,79.03,1,1,2,1,0,0,0,0,2,1,0,0,0,0
True,True,True,True,True,True,10/19/2009,40105.5467,78.98,1,1,1,1,0,0,0,0,1,1,0,0,0,0
True,True,True,True,True,True,10/19/2009,40105.56649,79.15,2,0,2,1,1,0,0,0,2,1,1,0,0,0
True,True,True,True,True,True,10/19/2009,40105.587589999996,79.4,1,1,2,0,1,0,0,0,2,0,1,0,0,0
True,True,True,True,True,True,10/19/2009,40105.59727,79.86,1,0,2,0,2,0,0,0,2,0,2,0,0,0
True,True,True,True,True,True,10/19/2009,40105.63325,79.75,1,0,2,0,3,0,0,0,2,0,3,0,0,0
True,True,True,True,True,True,10/19/2009,40105.63894,79.73,1,1,2,0,2,0,0,0,2,0,2,0,0,0
True,True,True,True,True,True,10/20/2009,40106.08698,80.15,1,1,2,0,1,0,0,0,2,0,1,0,0,0
True,True,True,True,True,True,10/20/2009,40106.08703,80.15,1,1,2,0,0,0,0,0,2,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.11886,80.2,1,0,2,0,1,0,0,0,2,0,1,0,0,0
True,True,True,True,True,True,10/20/2009,40106.16006,79.72,1,1,1,0,1,0,0,0,1,0,1,0,0,0
True,True,True,True,True,True,10/20/2009,40106.16033,79.71,1,1,0,0,1,0,0,0,0,0,1,0,0,0
True,True,True,True,True,True,10/20/2009,40106.160489999995,79.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.20156,79.53,1,0,0,0,0,0,0,1,0,0,0,0,0,1
True,True,True,True,True,True,10/20/2009,40106.21186,79.55,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.23898,79.83,1,0,1,0,0,0,0,0,1,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.23898,79.83,1,0,1,0,1,0,0,0,1,0,1,0,0,0
True,True,True,True,True,True,10/20/2009,40106.26429,79.71,1,1,0,0,1,0,0,0,0,0,1,0,0,0
True,True,True,True,True,True,10/20/2009,40106.27443,79.63,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.31609,79.81,2,0,0,0,0,1,1,0,0,0,0,1,1,0
True,True,True,True,True,True,10/20/2009,40106.33685,79.89,1,0,0,1,0,1,1,0,0,1,0,1,1,0
True,True,True,True,True,True,10/20/2009,40106.34726,79.98,1,0,0,1,1,1,1,0,0,1,1,1,1,0
True,True,True,True,True,True,10/20/2009,40106.35432,79.69,1,1,0,1,0,1,1,0,0,1,0,1,1,0
True,True,True,True,True,True,10/20/2009,40106.35769,79.82,1,1,0,1,0,1,0,0,0,1,0,1,0,0
True,True,True,True,True,True,10/20/2009,40106.37857,80.04,1,0,1,1,0,1,0,0,1,1,0,1,0,0
True,True,True,True,True,True,10/20/2009,40106.38893,79.85,1,1,1,1,0,0,0,0,1,1,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.39935,79.79,1,1,1,0,0,0,0,0,1,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.40501,79.45,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.40977,79.76,1,0,1,0,0,0,0,0,1,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.42018,79.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.44104,78.99,1,0,1,0,0,0,0,0,1,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.45144,79.06,1,0,1,0,1,0,0,0,1,0,1,0,0,0
True,True,True,True,True,True,10/20/2009,40106.46186,79.02,1,1,1,0,0,0,0,0,1,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.47227,79.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.48269,78.96,1,0,0,0,0,0,0,1,0,0,0,0,0,1
True,True,True,True,True,True,10/20/2009,40106.48269,78.95,1,0,0,1,0,0,0,1,0,1,0,0,0,1
True,True,True,True,True,True,10/20/2009,40106.48528,78.63,1,1,0,1,0,0,0,0,0,1,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.48529,78.57,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.52445,78.41,1,1,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.52445,78.41,1,1,-1,0,-1,0,0,0,-1,0,-1,0,0,0
True,True,True,True,True,True,10/20/2009,40106.53301,78.63,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.53492,78.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.57647,79.11,1,1,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.5978,79.53,1,1,-2,0,0,0,0,0,-2,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.5978,79.53,1,1,-2,0,0,0,0,-1,-2,0,0,0,0,-1
True,True,True,True,True,True,10/20/2009,40106.6077,79.05,1,0,-2,0,0,0,0,0,-2,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.6077,79.05,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.60775,79.05,1,1,-1,-1,0,0,0,0,-1,-1,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.61844,78.84,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.61844,78.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/20/2009,40106.65978,79.03,1,1,0,0,0,0,0,-1,0,0,0,0,0,-1
True,True,True,True,True,True,10/20/2009,40106.67019,79.12,1,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1
True,True,True,True,True,True,10/20/2009,40106.68061,79.07,1,0,0,0,-1,0,0,0,0,0,-1,0,0,0
True,True,True,True,True,True,10/20/2009,40106.69103,78.69,2,0,0,0,0,0,1,0,0,0,0,0,1,0
True,True,True,True,True,True,10/21/2009,40107.086989999996,78.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.10151,78.76,1,1,0,0,0,0,0,-1,0,0,0,0,0,-1
True,True,True,True,True,True,10/21/2009,40107.1184,78.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.12852,78.91,1,1,0,0,0,0,0,-1,0,0,0,0,0,-1
True,True,True,True,True,True,10/21/2009,40107.12852,78.9,1,1,0,0,0,0,-1,-1,0,0,0,0,-1,-1
True,True,True,True,True,True,10/21/2009,40107.12861,78.89,1,1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1
True,True,True,True,True,True,10/21/2009,40107.15977,78.98,2,0,0,0,-1,0,0,0,0,0,-1,0,0,0
True,True,True,True,True,True,10/21/2009,40107.191139999995,78.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.211839999996,78.53,1,1,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.211839999996,78.53,1,1,-1,0,0,0,-1,0,-1,0,0,0,-1,0
True,True,True,True,True,True,10/21/2009,40107.22227,78.3,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.22227,78.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.2431,78.22,1,0,0,0,1,0,0,0,0,0,1,0,0,0
True,True,True,True,True,True,10/21/2009,40107.263960000004,78.16,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.316119999996,77.9,1,0,0,1,0,0,0,0,0,1,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.368089999996,78.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.37852,78.41,1,1,0,0,0,0,0,-1,0,0,0,0,0,-1
True,True,True,True,True,True,10/21/2009,40107.38894,78.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.39943,78.57,1,1,0,0,0,0,0,-1,0,0,0,0,0,-1
True,True,True,True,True,True,10/21/2009,40107.39945,78.56,1,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1
True,True,True,True,True,True,10/21/2009,40107.40978,78.92,1,1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1
True,True,True,True,True,True,10/21/2009,40107.4375,79.09,1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0
True,True,True,True,True,True,10/21/2009,40107.44107,79.53,1,1,0,-1,-1,0,-1,0,0,-1,-1,0,-1,0
True,True,True,True,True,True,10/21/2009,40107.45145,79.9,2,0,0,0,0,0,-1,0,0,0,0,0,-1,0
True,True,True,True,True,True,10/21/2009,40107.46185,79.72,1,1,0,0,0,-1,-1,0,0,0,0,-1,-1,0
True,True,True,True,True,True,10/21/2009,40107.47871,79.96,1,0,0,0,0,-1,0,0,0,0,0,-1,0,0
True,True,True,True,True,True,10/21/2009,40107.513960000004,80.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.535039999995,81.19,2,0,0,0,0,0,1,1,0,0,0,0,1,1
True,True,True,True,True,True,10/21/2009,40107.55571,81.76,1,0,1,0,0,0,1,1,1,0,0,0,1,1
True,True,True,True,True,True,10/21/2009,40107.64016,81.14,1,1,1,0,0,0,1,0,1,0,0,0,1,0
True,True,True,True,True,True,10/21/2009,40107.64318,81.08,2,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.64936,80.98,1,1,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.64936,80.98,1,1,-1,0,0,0,0,-1,-1,0,0,0,0,-1
True,True,True,True,True,True,10/21/2009,40107.64937,80.97,1,1,-1,0,0,0,0,-2,-1,0,0,0,0,-2
True,True,True,True,True,True,10/21/2009,40107.67054,80.79,2,1,-1,-2,0,0,0,-2,-1,-2,0,0,0,-2
True,True,True,True,True,True,10/21/2009,40107.68137,80.92,1,0,-1,-2,0,0,0,-1,-1,-2,0,0,0,-1
True,True,True,True,True,True,10/21/2009,40107.68229,80.93,1,0,-1,-2,0,0,0,0,-1,-2,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.68351,80.94,1,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0
True,True,True,True,True,True,10/21/2009,40107.70144,80.96,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.118089999996,80.61,1,1,-1,0,0,0,0,-1,-1,0,0,0,0,-1
True,True,True,True,True,True,10/22/2009,40108.1191,80.6,2,1,-1,0,0,0,0,-3,-1,0,0,0,0,-3
True,True,True,True,True,True,10/22/2009,40108.12712,80.59,1,1,-2,0,0,0,0,-3,-2,0,0,0,0,-3
True,True,True,True,True,True,10/22/2009,40108.12979,80.72,2,0,-2,0,0,0,0,-1,-2,0,0,0,0,-1
True,True,True,True,True,True,10/22/2009,40108.13462,80.78,1,0,-2,0,0,0,0,0,-2,0,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.135310000005,80.84,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.15976,80.7,1,1,-1,0,0,0,0,-1,-1,0,0,0,0,-1
True,True,True,True,True,True,10/22/2009,40108.160189999995,80.69,1,1,-1,0,0,0,0,-2,-1,0,0,0,0,-2
True,True,True,True,True,True,10/22/2009,40108.16123,80.68,1,1,-1,0,0,0,-1,-2,-1,0,0,0,-1,-2
True,True,True,True,True,True,10/22/2009,40108.1806,80.29,1,1,-1,0,0,0,-2,-2,-1,0,0,0,-2,-2
True,True,True,True,True,True,10/22/2009,40108.211839999996,80.17,2,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1
True,True,True,True,True,True,10/22/2009,40108.28482,80.42,1,1,-2,0,0,0,-1,-1,-2,0,0,0,-1,-1
True,True,True,True,True,True,10/22/2009,40108.31245,80.66,1,0,-2,0,0,0,-1,0,-2,0,0,0,-1,0
True,True,True,True,True,True,10/22/2009,40108.31601,80.68,1,1,-3,0,0,0,-1,0,-3,0,0,0,-1,0
True,True,True,True,True,True,10/22/2009,40108.31601,80.69,1,1,-3,-1,0,0,-1,0,-3,-1,0,0,-1,0
True,True,True,True,True,True,10/22/2009,40108.32643,80.82,1,0,-3,-1,0,0,0,0,-3,-1,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.32643,80.82,1,0,-2,-1,0,0,0,0,-2,-1,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.32643,80.81,1,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.328369999996,80.65,1,1,-1,-2,0,0,0,0,-1,-2,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.33685,80.71,1,1,-2,-2,0,0,0,0,-2,-2,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.34157,80.71,1,1,-3,-2,0,0,0,0,-3,-2,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.347369999996,80.85,1,0,-3,-1,0,0,0,0,-3,-1,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.34772,80.86,1,0,-3,0,0,0,0,0,-3,0,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.349460000005,80.87,1,0,-2,0,0,0,0,0,-2,0,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.35113,80.84,1,1,-2,0,0,0,0,-1,-2,0,0,0,0,-1
True,True,True,True,True,True,10/22/2009,40108.36832,80.62,1,0,-2,0,0,0,0,0,-2,0,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.38003,80.29,1,1,-3,0,0,0,0,0,-3,0,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.38979,81.25,1,0,-2,0,0,0,0,0,-2,0,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.389910000005,81.27,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.38989,81.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.3899,81.26,1,0,0,1,0,0,0,0,0,1,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.39201,81.12,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.39572,80.8,1,1,0,0,0,0,0,-1,0,0,0,0,0,-1
True,True,True,True,True,True,10/22/2009,40108.39798,80.72,1,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1
True,True,True,True,True,True,10/22/2009,40108.402180000005,80.88,1,1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1
True,True,True,True,True,True,10/22/2009,40108.402180000005,80.88,1,1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1
True,True,True,True,True,True,10/22/2009,40108.43121,80.93,1,0,0,-1,-1,0,-1,0,0,-1,-1,0,-1,0
True,True,True,True,True,True,10/22/2009,40108.43288,81.21,1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0
True,True,True,True,True,True,10/22/2009,40108.44102,80.83,2,1,0,0,-1,0,-1,-2,0,0,-1,0,-1,-2
True,True,True,True,True,True,10/22/2009,40108.45144,80.75,1,0,0,0,0,0,-1,-2,0,0,0,0,-1,-2
True,True,True,True,True,True,10/22/2009,40108.47238,80.72,1,1,0,0,0,0,-2,-2,0,0,0,0,-2,-2
True,True,True,True,True,True,10/22/2009,40108.50353,80.44,1,1,0,0,0,-1,-2,-2,0,0,0,-1,-2,-2
True,True,True,True,True,True,10/22/2009,40108.50353,80.43,1,1,0,0,0,-2,-2,-2,0,0,0,-2,-2,-2
True,True,True,True,True,True,10/22/2009,40108.50355,80.42,1,1,0,-1,0,-2,-2,-2,0,-1,0,-2,-2,-2
True,True,True,True,True,True,10/22/2009,40108.52448,80.13,1,0,0,-1,0,-2,-2,-1,0,-1,0,-2,-2,-1
True,True,True,True,True,True,10/22/2009,40108.52448,80.13,1,0,0,-1,0,-2,-2,0,0,-1,0,-2,-2,0
True,True,True,True,True,True,10/22/2009,40108.52448,80.13,2,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0
True,True,True,True,True,True,10/22/2009,40108.52448,80.13,1,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0
True,True,True,True,True,True,10/22/2009,40108.52448,80.13,1,0,0,0,0,-1,0,0,0,0,0,-1,0,0
True,True,True,True,True,True,10/22/2009,40108.52498,80.23,3,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0
True,True,True,True,True,True,10/22/2009,40108.52498,80.23,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1
True,True,True,True,True,True,10/22/2009,40108.52498,80.24,1,1,-1,-1,-1,-1,0,-2,-1,-1,-1,-1,0,-2
True,True,True,True,True,True,10/22/2009,40108.53533,80.47,1,1,-1,-1,-1,-1,0,-3,-1,-1,-1,-1,0,-3
True,True,True,True,True,True,10/22/2009,40108.54576,80.6,1,0,-1,-1,-1,-1,0,-2,-1,-1,-1,-1,0,-2
True,True,True,True,True,True,10/22/2009,40108.54576,80.6,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1
True,True,True,True,True,True,10/22/2009,40108.54576,80.6,1,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0
True,True,True,True,True,True,10/22/2009,40108.55601,80.41,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1
True,True,True,True,True,True,10/22/2009,40108.57644,80.56,1,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,0,-1
True,True,True,True,True,True,10/22/2009,40108.57931,80.79,1,0,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0
True,True,True,True,True,True,10/22/2009,40108.60122,81.15,1,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.6077,81.17,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.63893,81.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/22/2009,40108.64966,81.19,1,1,0,0,0,0,0,-1,0,0,0,0,0,-1
True,True,True,True,True,True,10/22/2009,40108.660110000004,81.14,1,1,0,0,0,0,-1,-1,0,0,0,0,-1,-1
True,True,True,True,True,True,10/22/2009,40108.67023,81.21,1,0,0,0,0,0,-1,0,0,0,0,0,-1,0
True,True,True,True,True,True,10/23/2009,40109.17018,81.23,1,1,-1,0,0,0,-1,0,-1,0,0,0,-1,0
True,True,True,True,True,True,10/23/2009,40109.17018,81.23,1,1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,0
True,True,True,True,True,True,10/23/2009,40109.19104,81.1,1,1,-1,0,0,-1,-2,0,-1,0,0,-1,-2,0
True,True,True,True,True,True,10/23/2009,40109.21906,81.34,1,0,-1,0,0,-1,-1,0,-1,0,0,-1,-1,0
True,True,True,True,True,True,10/23/2009,40109.22253,81.32,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
True,True,True,True,True,True,10/23/2009,40109.26399,81.21,1,1,-1,0,0,-1,-1,0,-1,0,0,-1,-1,0
True,True,True,True,True,True,10/23/2009,40109.27438,81.26,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
True,True,True,True,True,True,10/23/2009,40109.28482,81.16,1,1,-1,0,0,-1,0,-1,-1,0,0,-1,0,-1
True,True,True,True,True,True,10/23/2009,40109.34794,81.12,1,1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1
True,True,True,True,True,True,10/23/2009,40109.35774,81.39,1,0,-1,0,0,-1,-1,0,-1,0,0,-1,-1,0
True,True,True,True,True,True,10/23/2009,40109.35781,81.4,1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0
True,True,True,True,True,True,10/23/2009,40109.35781,81.41,1,0,0,0,0,0,-1,0,0,0,0,0,-1,0
True,True,True,True,True,True,10/23/2009,40109.362069999996,81.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/23/2009,40109.368389999996,81.34,2,1,-1,0,-1,0,0,0,-1,0,-1,0,0,0
True,True,True,True,True,True,10/23/2009,40109.37725,81.58,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/23/2009,40109.37763,81.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/23/2009,40109.38893,81.23,1,1,0,0,-1,0,0,0,0,0,-1,0,0,0
True,True,True,True,True,True,10/23/2009,40109.38893,81.24,1,1,-1,0,-1,0,0,0,-1,0,-1,0,0,0
True,True,True,True,True,True,10/23/2009,40109.38893,81.24,1,1,-1,0,-1,-1,0,0,-1,0,-1,-1,0,0
True,True,True,True,True,True,10/23/2009,40109.44719,80.56,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
True,True,True,True,True,True,10/23/2009,40109.4516,80.47,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/23/2009,40109.46201,80.19,1,1,-1,0,0,0,0,-1,-1,0,0,0,0,-1
True,True,True,True,True,True,10/23/2009,40109.47388,79.99,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/23/2009,40109.48272,80.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/23/2009,40109.4931,80.54,1,1,0,0,0,0,0,-1,0,0,0,0,0,-1
True,True,True,True,True,True,10/23/2009,40109.49715,80.53,1,1,0,0,0,0,0,-2,0,0,0,0,0,-2
True,True,True,True,True,True,10/23/2009,40109.49715,80.52,1,1,0,0,-1,0,0,-2,0,0,-1,0,0,-2
True,True,True,True,True,True,10/23/2009,40109.50352,80.8,1,1,0,0,-1,-1,0,-2,0,0,-1,-1,0,-2
True,True,True,True,True,True,10/23/2009,40109.50352,80.81,1,1,0,0,-1,-1,-1,-2,0,0,-1,-1,-1,-2
True,True,True,True,True,True,10/23/2009,40109.50352,80.81,1,1,0,0,-1,-2,-1,-2,0,0,-1,-2,-1,-2
True,True,True,True,True,True,10/23/2009,40109.50352,80.81,1,1,0,0,-1,-2,-1,-3,0,0,-1,-2,-1,-3
True,True,True,True,True,True,10/23/2009,40109.50352,80.8,1,1,0,0,-1,-2,-1,-4,0,0,-1,-2,-1,-4
True,True,True,True,True,True,10/23/2009,40109.5122,80.66,1,0,0,0,-1,-2,-1,-3,0,0,-1,-2,-1,-3
True,True,True,True,True,True,10/23/2009,40109.51296,80.66,1,0,0,0,-1,-2,-1,-2,0,0,-1,-2,-1,-2
True,True,True,True,True,True,10/23/2009,40109.52311,80.61,1,0,0,0,-1,-2,-1,-1,0,0,-1,-2,-1,-1
True,True,True,True,True,True,10/23/2009,40109.52392,80.61,1,0,0,0,-1,-2,-1,0,0,0,-1,-2,-1,0
True,True,True,True,True,True,10/23/2009,40109.534869999996,81.06,2,1,0,-1,-1,-2,-2,0,0,-1,-1,-2,-2,0
True,True,True,True,True,True,10/23/2009,40109.55561,80.85,1,1,0,-2,-1,-2,-2,0,0,-2,-1,-2,-2,0
True,True,True,True,True,True,10/23/2009,40109.55564,80.84,1,1,0,-3,-1,-2,-2,0,0,-3,-1,-2,-2,0
True,True,True,True,True,True,10/23/2009,40109.55564,80.83,1,1,-1,-3,-1,-2,-2,0,-1,-3,-1,-2,-2,0
True,True,True,True,True,True,10/23/2009,40109.56603,80.28,3,0,0,-2,0,-2,-2,0,0,-2,0,-2,-2,0
True,True,True,True,True,True,10/23/2009,40109.56632,80.29,3,0,0,-2,0,-1,0,0,0,-2,0,-1,0,0
True,True,True,True,True,True,10/23/2009,40109.56939,80.29,1,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0
True,True,True,True,True,True,10/23/2009,40109.57022,80.35,1,0,0,-1,0,0,0,0,0,-1,0,0,0,0
True,True,True,True,True,True,10/23/2009,40109.57644,80.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/23/2009,40109.58685,80.07,1,0,1,0,0,0,0,0,1,0,0,0,0,0
True,True,True,True,True,True,10/23/2009,40109.59727,80.33,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/23/2009,40109.64936,79.99,2,0,0,0,0,0,2,0,0,0,0,0,2,0
True,True,True,True,True,True,10/23/2009,40109.68061,79.67,1,1,0,0,0,0,1,0,0,0,0,0,1,0
True,True,True,True,True,True,10/26/2009,40112.08687,79.93,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/26/2009,40112.19102,80.06,1,1,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/26/2009,40112.2016,79.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/26/2009,40112.24351,80.09,1,1,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/26/2009,40112.24351,80.09,1,1,-1,0,0,0,-1,0,-1,0,0,0,-1,0
True,True,True,True,True,True,10/26/2009,40112.25384,80.15,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
True,True,True,True,True,True,10/26/2009,40112.25384,80.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/26/2009,40112.28494,80.19,1,1,0,0,0,0,-1,0,0,0,0,0,-1,0
True,True,True,True,True,True,10/26/2009,40112.29526,80.2,1,1,0,0,0,0,-2,0,0,0,0,0,-2,0
True,True,True,True,True,True,10/26/2009,40112.296969999996,80.22,1,0,0,0,0,0,-1,0,0,0,0,0,-1,0
True,True,True,True,True,True,10/26/2009,40112.30236,80.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True,True,True,True,True,True,10/26/2009,40112.30609,80.24,1,1,0,0,0,-1,0,0,0,0,0,-1,0,0
True,True,True,True,True,True,10/26/2009,40112.3161,80.41,2,1,-2,0,0,-1,0,0,-2,0,0,-1,0,0
True,True,True,True,True,True,10/26/2009,40112.3265,80.34,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
True,True,True,True,True,True,10/26/2009,40112.33696,80.38,1,1,-2,0,0,-1,0,0,-2,0,0,-1,0,0
True,True,True,True,True,True,10/26/2009,40112.33696,80.38,1,1,-2,0,-1,-1,0,0,-2,0,-1,-1,0,0
True,True,True,True,True,True,10/26/2009,40112.347389999995,80.22,1,0,-2,0,-1,0,0,0,-2,0,-1,0,0,0
