Transaction Type,Account,ClOrdID,Sec ID,Side,Qty,TPx,Exec Broker,Clearing Broker,Give-up Ref
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.25000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,2,65.23000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,2,65.14000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.88000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.88000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.88000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.94000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.66000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.66000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.56000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,2,64.43000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.43000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.46000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,2,64.61000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.61000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.84000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.84000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.75000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.75000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.88000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.88000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.74000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.74000000,MS,MS,00000005
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.85000000,MS,MS,00000005
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.85000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.79000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.89000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.08000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.08000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.17000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.17000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.36000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.36000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.36000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.29000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.29000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.41000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.41000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.20000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,2,65.20000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.11000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.11000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.03000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.03000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.79000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.86000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.07000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.07000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.11000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.24000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.37000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,2,65.37000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.43000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.43000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,2,65.55000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.55000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.54000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,SELL,2,65.29000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.29000000,MS,MS,00000005
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.39000000,MS,MS,00000005
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.39000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.33000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.33000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.37000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.35000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.43000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.45000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.40000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.40000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.40000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.38000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.38000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.36000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.18000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.25000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.25000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.14000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.28000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.20000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.43000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.43000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.43000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.50000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.50000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.62000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.88000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,66.15000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,66.03000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,66.04000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,66.08000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,66.11000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,66.11000000,MS,MS,00000005
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,66.31000000,MS,MS,00000005
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,66.60000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,66.37000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,66.38000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,66.38000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,66.38000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,66.17000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,66.38000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,66.25000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,66.25000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,66.05000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,66.05000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,66.05000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.92000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.92000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,66.11000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,66.11000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.74000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.88000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.75000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.75000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.76000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.70000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,65.70000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,2,65.50000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,65.61000000,MS,MS,00000004
